,Airline name,Departure city,Arrival city,Departure time,Arrival time,Total stops,Price
0,AirAsia,New Delhi,Mumbai,09:35,20:35,1 stop via Bengaluru,"₹ 5,953"
1,Go First,New Delhi,Mumbai,02:00,04:15,Non stop,"₹ 5,954"
2,Go First,New Delhi,Mumbai,07:00,09:10,Non stop,"₹ 5,954"
3,Go First,New Delhi,Mumbai,08:00,10:10,Non stop,"₹ 5,954"
4,Go First,New Delhi,Mumbai,10:30,12:50,Non stop,"₹ 5,954"
5,Go First,New Delhi,Mumbai,12:45,15:00,Non stop,"₹ 5,954"
6,Go First,New Delhi,Mumbai,14:20,16:35,Non stop,"₹ 5,954"
7,Go First,New Delhi,Mumbai,18:05,20:25,Non stop,"₹ 5,954"
8,Go First,New Delhi,Mumbai,19:40,21:55,Non stop,"₹ 5,954"
9,Go First,New Delhi,Mumbai,21:00,23:15,Non stop,"₹ 5,954"
10,Go First,New Delhi,Mumbai,22:30,00:40,Non stop,"₹ 5,954"
11,IndiGo,New Delhi,Mumbai,01:45,04:10,Non stop,"₹ 5,955"
12,IndiGo,New Delhi,Mumbai,04:45,07:10,Non stop,"₹ 5,955"
13,Vistara,New Delhi,Mumbai,05:45,07:55,Non stop,"₹ 5,955"
14,Spicejet,New Delhi,Mumbai,06:20,08:40,Non stop,"₹ 5,955"
15,IndiGo,New Delhi,Mumbai,06:30,08:40,Non stop,"₹ 5,955"
16,Air India,New Delhi,Mumbai,07:00,09:05,Non stop,"₹ 5,955"
17,IndiGo,New Delhi,Mumbai,07:15,09:25,Non stop,"₹ 5,955"
18,Spicejet,New Delhi,Mumbai,07:20,09:35,Non stop,"₹ 5,955"
19,Vistara,New Delhi,Mumbai,07:30,09:45,Non stop,"₹ 5,955"
20,Air India,New Delhi,Mumbai,08:00,10:10,Non stop,"₹ 5,955"
21,IndiGo,New Delhi,Mumbai,08:10,10:20,Non stop,"₹ 5,955"
22,IndiGo,New Delhi,Mumbai,08:45,11:05,Non stop,"₹ 5,955"
23,Vistara,New Delhi,Mumbai,08:50,11:10,Non stop,"₹ 5,955"
24,Vistara,New Delhi,Mumbai,09:30,11:35,Non stop,"₹ 5,955"
25,IndiGo,New Delhi,Mumbai,09:30,11:45,Non stop,"₹ 5,955"
26,Vistara,New Delhi,Mumbai,10:20,12:35,Non stop,"₹ 5,955"
27,Air India,New Delhi,Mumbai,10:40,12:50,Non stop,"₹ 5,955"
28,IndiGo,New Delhi,Mumbai,10:45,13:05,Non stop,"₹ 5,955"
29,Vistara,New Delhi,Mumbai,11:40,14:00,Non stop,"₹ 5,955"
30,Vistara,New Delhi,Mumbai,12:50,15:00,Non stop,"₹ 5,955"
31,Vistara,New Delhi,Mumbai,14:20,16:30,Non stop,"₹ 5,955"
32,IndiGo,New Delhi,Mumbai,14:20,16:35,Non stop,"₹ 5,955"
33,Vistara,New Delhi,Mumbai,15:30,17:40,Non stop,"₹ 5,955"
34,IndiGo,New Delhi,Mumbai,16:00,18:15,Non stop,"₹ 5,955"
35,Vistara,New Delhi,Mumbai,16:55,19:05,Non stop,"₹ 5,955"
36,IndiGo,New Delhi,Mumbai,17:15,19:25,Non stop,"₹ 5,955"
37,Vistara,New Delhi,Mumbai,17:45,20:05,Non stop,"₹ 5,955"
38,Air India,New Delhi,Mumbai,18:00,20:00,Non stop,"₹ 5,955"
39,IndiGo,New Delhi,Mumbai,18:35,20:50,Non stop,"₹ 5,955"
40,Vistara,New Delhi,Mumbai,18:55,21:15,Non stop,"₹ 5,955"
41,Air India,New Delhi,Mumbai,19:00,21:15,Non stop,"₹ 5,955"
42,Vistara,New Delhi,Mumbai,19:50,22:00,Non stop,"₹ 5,955"
43,Air India,New Delhi,Mumbai,20:00,22:10,Non stop,"₹ 5,955"
44,IndiGo,New Delhi,Mumbai,20:00,22:15,Non stop,"₹ 5,955"
45,Vistara,New Delhi,Mumbai,20:40,22:50,Non stop,"₹ 5,955"
46,IndiGo,New Delhi,Mumbai,21:15,23:30,Non stop,"₹ 5,955"
47,Vistara,New Delhi,Mumbai,21:40,23:50,Non stop,"₹ 5,955"
48,IndiGo,New Delhi,Mumbai,23:35,01:45,Non stop,"₹ 5,955"
49,Air India,New Delhi,Mumbai,17:50,21:35,1 stop via Aurangabad,"₹ 5,955"
50,AirAsia,New Delhi,Mumbai,04:25,06:35,Non stop,"₹ 5,956"
51,Spicejet,New Delhi,Mumbai,19:45,22:05,Non stop,"₹ 6,060"
52,IndiGo,New Delhi,Mumbai,12:00,14:10,Non stop,"₹ 6,795"
53,IndiGo,New Delhi,Mumbai,07:20,12:25,1 stop via Udaipur,"₹ 6,848"
